num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,5.0,20.0,1,,,,
,5.0,,,298,62.039,4.803,0
,5.0,,,334,62.057,5.382,0
,5.0,,,301,62.088,4.848,0
,5.0,,,321,62.531,5.133,0
4,5.0,20.0,2,,,,
,5.0,,,122,22.434,5.438,2
,5.0,,,115,22.443,5.124,0
,5.0,,,115,22.624,5.083,0
,5.0,,,131,22.648,5.784,0
4,5.0,20.0,1,,,,
,5.0,,,145,29.587,4.901,0
,5.0,,,149,29.857,4.99,0
,5.0,,,146,29.945,4.876,0
,5.0,,,174,30.205,5.761,0
4,5.0,20.0,2,,,,
,5.0,,,155,27.963,5.543,1
,5.0,,,162,27.973,5.791,0
,5.0,,,127,28.132,4.514,0
,5.0,,,139,28.821,4.823,3
