num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,5.0,20.0,1,,,,
,5.0,,,33,7.028,4.695,0
,5.0,,,31,7.141,4.341,0
,5.0,,,44,7.157,6.148,0
,5.0,,,31,7.236,4.284,0
4,5.0,20.0,2,,,,
,5.0,,,78,19.218,4.059,0
,5.0,,,91,19.321,4.71,0
,5.0,,,93,19.377,4.8,0
,5.0,,,110,19.388,5.674,0
4,5.0,20.0,3,,,,
,5.0,,,131,28.163,4.652,0
,5.0,,,137,28.17,4.863,0
,5.0,,,148,28.177,5.253,0
4,5.0,20.0,2,,,,
,5.0,,,144,29.676,4.852,7
,5.0,,,157,31.03,5.06,0
,5.0,,,153,31.081,4.923,0
,5.0,,,182,31.208,5.832,0
,5.0,,,153,31.236,4.898,0
4,5.0,20.0,3,,,,
,5.0,,,148,31.069,4.764,0
,5.0,,,160,31.717,5.045,0
,5.0,,,168,31.86,5.273,0
4,5.0,20.0,2,,,,
,5.0,,,162,32.643,4.963,7
,5.0,,,79,17.907,4.412,0
,5.0,,,79,17.926,4.407,0
,5.0,,,81,18.181,4.455,0
,5.0,,,78,18.413,4.236,0
