timestamp,src_ip,src_port,dst_ip,dst_port,packet_length,label
0.8893435001373291,127.0.0.1,49342,127.0.0.1,8080,0,benign
0.8904619216918945,127.0.0.1,8080,127.0.0.1,49342,0,benign
0.8916201591491699,127.0.0.1,49342,127.0.0.1,8080,0,benign
0.8928682804107666,127.0.0.1,49358,127.0.0.1,8080,0,benign
0.8937768936157227,127.0.0.1,8080,127.0.0.1,49358,0,benign
0.8946967124938965,172.18.0.1,50260,172.18.0.2,80,0,benign
0.8958079814910889,172.18.0.1,50260,172.18.0.2,80,0,benign
0.8966488838195801,127.0.0.1,49358,127.0.0.1,8080,0,benign
0.8975763320922852,172.18.0.2,80,172.18.0.1,50260,0,benign
0.8985233306884766,172.18.0.2,80,172.18.0.1,50260,0,benign
0.899432897567749,172.18.0.1,50260,172.18.0.2,80,0,benign
0.9010400772094727,172.18.0.1,50260,172.18.0.2,80,0,benign
0.9023263454437256,172.18.0.1,50272,172.18.0.2,80,0,benign
0.9035558700561523,172.18.0.1,50272,172.18.0.2,80,0,benign
0.9044342041015625,172.18.0.2,80,172.18.0.1,50272,0,benign
0.9053003787994385,172.18.0.2,80,172.18.0.1,50272,0,benign
0.9064493179321289,172.18.0.1,50272,172.18.0.2,80,0,benign
0.907386302947998,172.18.0.1,50272,172.18.0.2,80,0,benign
0.9083411693572998,127.0.0.1,49358,127.0.0.1,8080,167,benign
0.9092071056365967,127.0.0.1,8080,127.0.0.1,49358,0,benign
0.9101352691650391,172.18.0.1,50272,172.18.0.2,80,167,benign
0.9108536243438721,172.18.0.1,50272,172.18.0.2,80,167,benign
0.9117662906646729,172.18.0.2,80,172.18.0.1,50272,0,benign
0.9126076698303223,172.18.0.2,80,172.18.0.1,50272,0,benign
0.9134166240692139,127.0.0.1,49342,127.0.0.1,8080,167,benign
0.9142403602600098,127.0.0.1,8080,127.0.0.1,49342,0,benign
0.9150533676147461,172.18.0.1,50260,172.18.0.2,80,167,benign
0.9158051013946533,172.18.0.1,50260,172.18.0.2,80,167,benign
0.916632890701294,172.18.0.2,80,172.18.0.1,50260,0,benign
0.9174845218658447,172.18.0.2,80,172.18.0.1,50260,0,benign
0.918543815612793,172.18.0.2,80,172.18.0.1,50260,118,benign
0.9193110466003418,172.18.0.2,80,172.18.0.1,50260,118,benign
0.9203565120697021,172.18.0.1,50260,172.18.0.2,80,0,benign
0.9213109016418457,172.18.0.1,50260,172.18.0.2,80,0,benign
0.9221479892730713,127.0.0.1,8080,127.0.0.1,49342,118,benign
0.9229104518890381,127.0.0.1,49342,127.0.0.1,8080,0,benign
0.9236526489257812,172.18.0.2,80,172.18.0.1,50260,56,benign
0.9245307445526123,172.18.0.2,80,172.18.0.1,50260,56,benign
0.9253721237182617,172.18.0.1,50260,172.18.0.2,80,0,benign
0.9262080192565918,172.18.0.1,50260,172.18.0.2,80,0,benign
0.9270391464233398,172.18.0.2,80,172.18.0.1,50272,118,benign
0.9279096126556396,172.18.0.2,80,172.18.0.1,50272,118,benign
0.9288713932037354,127.0.0.1,8080,127.0.0.1,49342,56,benign
0.9297983646392822,127.0.0.1,49342,127.0.0.1,8080,0,benign
0.9306058883666992,172.18.0.1,50272,172.18.0.2,80,0,benign
0.9314115047454834,172.18.0.1,50272,172.18.0.2,80,0,benign
0.9322223663330078,127.0.0.1,8080,127.0.0.1,49358,118,benign
0.9329650402069092,127.0.0.1,49358,127.0.0.1,8080,0,benign
0.9338855743408203,172.18.0.2,80,172.18.0.1,50260,0,benign
0.9350528717041016,172.18.0.2,80,172.18.0.1,50260,0,benign
0.9359450340270996,172.18.0.2,80,172.18.0.1,50272,56,benign
0.9372296333312988,172.18.0.2,80,172.18.0.1,50272,56,benign
0.9382052421569824,172.18.0.1,50272,172.18.0.2,80,0,benign
0.9391896724700928,172.18.0.1,50272,172.18.0.2,80,0,benign
0.9403257369995117,127.0.0.1,8080,127.0.0.1,49342,0,benign
0.9412360191345215,127.0.0.1,8080,127.0.0.1,49358,56,benign
0.9421875476837158,127.0.0.1,49358,127.0.0.1,8080,0,benign
0.9430637359619141,172.18.0.2,80,172.18.0.1,50272,0,benign
0.9439337253570557,172.18.0.2,80,172.18.0.1,50272,0,benign
0.9447708129882812,127.0.0.1,8080,127.0.0.1,49358,0,benign
0.9456734657287598,127.0.0.1,49342,127.0.0.1,8080,0,benign
0.9466090202331543,127.0.0.1,8080,127.0.0.1,49342,0,benign
0.9475598335266113,127.0.0.1,49364,127.0.0.1,8080,0,benign
0.9484059810638428,127.0.0.1,8080,127.0.0.1,49364,0,benign
0.9493474960327148,172.18.0.1,50260,172.18.0.2,80,0,benign
0.9502401351928711,127.0.0.1,49364,127.0.0.1,8080,0,benign
0.9510011672973633,172.18.0.1,50260,172.18.0.2,80,0,benign
0.951857328414917,172.18.0.2,80,172.18.0.1,50260,0,benign
0.9526073932647705,172.18.0.2,80,172.18.0.1,50260,0,benign
0.9536802768707275,172.18.0.1,50280,172.18.0.2,80,0,benign
0.954615592956543,172.18.0.1,50280,172.18.0.2,80,0,benign
0.95552659034729,172.18.0.2,80,172.18.0.1,50280,0,benign
0.9563801288604736,172.18.0.2,80,172.18.0.1,50280,0,benign
0.9572501182556152,172.18.0.1,50280,172.18.0.2,80,0,benign
0.9580521583557129,172.18.0.1,50280,172.18.0.2,80,0,benign
0.9590439796447754,127.0.0.1,49378,127.0.0.1,8080,0,benign
0.9599461555480957,127.0.0.1,8080,127.0.0.1,49378,0,benign
0.9607298374176025,127.0.0.1,49378,127.0.0.1,8080,0,benign
0.9614300727844238,127.0.0.1,49358,127.0.0.1,8080,0,benign
0.9622128009796143,127.0.0.1,8080,127.0.0.1,49358,0,benign
0.9629955291748047,127.0.0.1,49364,127.0.0.1,8080,167,benign
0.9639308452606201,127.0.0.1,8080,127.0.0.1,49364,0,benign
0.965172290802002,172.18.0.1,50272,172.18.0.2,80,0,benign
0.966386079788208,172.18.0.1,50272,172.18.0.2,80,0,benign
0.9674208164215088,172.18.0.2,80,172.18.0.1,50272,0,benign
0.9686357975006104,172.18.0.2,80,172.18.0.1,50272,0,benign
0.9700143337249756,172.18.0.1,50280,172.18.0.2,80,167,benign
