num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,16.0,64.0,2,,,,
4,16.0,64.0,3,,,,
,16.0,,,29,11.842,2.449,63
,16.0,,,35,12.092,2.894,68
,16.0,,,37,12.109,3.056,63
,16.0,,,31,12.104,2.561,57
4,16.0,64.0,4,,,,
,16.0,,,288,24.835,11.597,0
,16.0,,,227,24.912,9.112,39
,16.0,,,0,26.887,0.0,263
,16.0,,,0,26.917,0.0,270
,16.0,,,1372,112.152,12.233,2
,16.0,,,1413,112.416,12.569,20
,16.0,,,1320,112.514,11.732,93
,16.0,,,0,114.043,0.0,1349
