num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,2.0,8.0,1,,,,
,2.0,,,20,6.316,3.166,0
,2.0,,,16,6.437,2.486,0
,2.0,,,17,6.849,2.482,0
,2.0,,,8,7.081,1.13,0
4,2.0,8.0,2,,,,
,2.0,,,58,28.08,2.066,0
,2.0,,,59,28.114,2.099,2
,2.0,,,66,28.431,2.321,0
4,2.0,8.0,1,,,,
,2.0,,,61,29.701,2.054,2
,2.0,,,46,19.687,2.337,0
,2.0,,,34,19.824,1.715,0
,2.0,,,41,19.856,2.065,0
,2.0,,,35,20.42,1.714,0
4,2.0,8.0,2,,,,
,2.0,,,58,27.882,2.08,0
,2.0,,,52,28.067,1.853,1
,2.0,,,50,28.179,1.774,1
,2.0,,,40,28.577,1.4,0
4,2.0,8.0,1,,,,
,2.0,,,55,29.456,1.867,0
,2.0,,,49,29.561,1.658,0
,2.0,,,58,29.78,1.948,0
,2.0,,,67,29.79,2.249,0
4,2.0,8.0,2,,,,
,2.0,,,44,22.73,1.936,0
,2.0,,,52,23.057,2.255,0
,2.0,,,53,23.28,2.277,0
,2.0,,,52,23.739,2.191,0
