file,baseline_mean_ms,baseline_std_ms,baseline_n_samples,burst_floor_ms,total_windows,bursts_detected,detection_rate,avg_entropy,avg_max_z,max_max_z,avg_cusum,max_cusum
experiment_results/wedos_grid/rtt_log_S2_atk1pct_wu400000_stage1a_rep1.csv,27.04129942820511,21.41881517436443,1971,48.6743389707692,18,0,0.0,1.379,6.459,11.97,57.9,603.0
experiment_results/wedos_grid/rtt_log_S2_atk1pct_wu425000_stage1b_rep1.csv,26.264723748551983,21.434946537543404,2033,47.27650274739357,19,0,0.0,1.419,5.728,16.78,21.8,153.0
experiment_results/wedos_grid/rtt_log_S2_atk1pct_wu425000_stage1b_rep2.csv,26.598383661994465,21.32359280803848,1941,47.87709059159004,18,0,0.0,1.364,6.291,20.93,112.8,1721.0
experiment_results/wedos_grid/rtt_log_S2_atk1pct_wu425000_stage1b_rep3.csv,26.597391394559335,21.369695529126865,1992,47.8753045102068,18,0,0.0,1.343,5.93,11.86,15.2,51.0
experiment_results/wedos_grid/rtt_log_S2_atk1pct_wu450000_stage1b_rep1.csv,26.746309347875172,21.3024543978581,2032,48.143356826175314,18,0,0.0,1.295,5.358,19.05,11.8,44.0
experiment_results/wedos_grid/rtt_log_S2_atk1pct_wu450000_stage1b_rep2.csv,25.83350687279232,21.313222385613784,2013,46.500312371026176,18,0,0.0,1.397,5.81,12.67,33.9,271.0
experiment_results/wedos_grid/rtt_log_S2_atk1pct_wu450000_stage1b_rep3.csv,26.54591031604098,21.301343299821077,2047,47.782638568873764,18,0,0.0,1.387,5.913,18.1,20.2,58.0
experiment_results/wedos_grid/rtt_log_S2_atk1pct_wu475000_stage1b_rep1.csv,25.23420938903788,21.467736564282443,1861,45.421576900268185,19,0,0.0,1.296,6.972,15.03,2721.5,15992.0
experiment_results/wedos_grid/rtt_log_S2_atk1pct_wu475000_stage1b_rep2.csv,26.590342042510084,21.505544109207477,1976,47.86261567651815,19,3,0.158,1.311,8.215,30.82,156645.1,252053.0
experiment_results/wedos_grid/rtt_log_S2_atk1pct_wu475000_stage1b_rep3.csv,26.84503428799288,21.38256393392121,1941,48.321061718387185,19,2,0.105,1.185,8.365,34.24,97089.1,130425.0
