ts_iso,event,thread_id,thread_name,num_attackers,rps_per_worker,planned_total_rps,num_targets,target_urls,total_requests,errors
,attack_start,,,8,10.0,80.0,1,http://localhost:8080,,
,worker_stop,,,,,,,,47,33.0
,worker_stop,,,,,,,,46,34.0
,worker_stop,,,,,,,,44,36.0
,worker_stop,,,,,,,,45,35.0
,worker_stop,,,,,,,,47,33.0
,worker_stop,,,,,,,,36,44.0
,worker_stop,,,,,,,,55,25.0
,worker_stop,,,,,,,,46,34.0
,attack_start,,,8,10.0,80.0,2,http://localhost:8080|http://localhost:8081,,
,worker_stop,,,,,,,,60,20.0
,worker_stop,,,,,,,,60,20.0
,worker_stop,,,,,,,,60,20.0
,worker_stop,,,,,,,,60,20.0
,worker_stop,,,,,,,,60,20.0
,worker_stop,,,,,,,,60,20.0
,worker_stop,,,,,,,,60,20.0
,worker_stop,,,,,,,,60,20.0
,attack_start,,,8,10.0,80.0,3,http://localhost:8080|http://localhost:8081|http://localhost:8082,,
,worker_stop,,,,,,,,50,30.0
,worker_stop,,,,,,,,50,30.0
,worker_stop,,,,,,,,50,30.0
,worker_stop,,,,,,,,50,30.0
,worker_stop,,,,,,,,50,30.0
,worker_stop,,,,,,,,50,30.0
,worker_stop,,,,,,,,50,30.0
,worker_stop,,,,,,,,50,30.0
,attack_start,,,8,10.0,80.0,2,http://localhost:8080|http://localhost:8081,,
,worker_stop,,,,,,,,50,30.0
,worker_stop,,,,,,,,50,30.0
,worker_stop,,,,,,,,50,30.0
,worker_stop,,,,,,,,50,30.0
,worker_stop,,,,,,,,50,30.0
,worker_stop,,,,,,,,50,30.0
,worker_stop,,,,,,,,50,30.0
,worker_stop,,,,,,,,50,30.0
