num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,5.0,20.0,1,,,,
,5.0,,,14,5.86,2.389,0
,5.0,,,14,5.858,2.39,0
,5.0,,,14,5.976,2.343,0
,5.0,,,15,5.99,2.504,0
4,5.0,20.0,2,,,,
,5.0,,,24,5.825,4.12,0
,5.0,,,26,5.859,4.438,0
,5.0,,,25,5.912,4.229,0
,5.0,,,26,5.988,4.342,0
4,5.0,20.0,3,,,,
,5.0,,,25,5.002,4.998,0
,5.0,,,25,5.002,4.998,0
,5.0,,,23,5.158,4.459,0
,5.0,,,22,5.154,4.269,0
4,5.0,20.0,2,,,,
,5.0,,,19,4.238,4.483,0
,5.0,,,18,4.256,4.229,0
,5.0,,,19,4.263,4.457,0
,5.0,,,18,4.266,4.22,0
