ts_iso,event,thread_id,thread_name,num_attackers,rps_per_worker,planned_total_rps,num_targets,target_urls,total_requests,errors
,attack_start,,,4,5.0,20.0,1,http://localhost:8080,,
,worker_stop,,,,,,,,25,-5.0
,worker_stop,,,,,,,,25,-5.0
,worker_stop,,,,,,,,25,-5.0
,worker_stop,,,,,,,,25,-5.0
,attack_start,,,4,5.0,20.0,1,http://localhost:8080,,
,worker_stop,,,,,,,,30,-10.0
,worker_stop,,,,,,,,30,-10.0
,worker_stop,,,,,,,,30,-10.0
,worker_stop,,,,,,,,26,-6.0
,attack_start,,,4,5.0,20.0,2,http://localhost:8080|http://localhost:8081,,
,worker_stop,,,,,,,,25,-5.0
,worker_stop,,,,,,,,25,-5.0
,worker_stop,,,,,,,,25,-5.0
,worker_stop,,,,,,,,25,-5.0
,attack_start,,,4,5.0,20.0,1,http://localhost:8080,,
,worker_stop,,,,,,,,25,-5.0
,worker_stop,,,,,,,,25,-5.0
,worker_stop,,,,,,,,25,-5.0
,worker_stop,,,,,,,,21,-1.0
