ts_iso,event,thread_id,thread_name,num_attackers,rps_per_worker,planned_total_rps,num_targets,target_urls,total_requests,errors
,attack_start,,,4,10.0,40.0,1,http://localhost:8080,,
,worker_stop,,,,,,,,50,-10.0
,worker_stop,,,,,,,,60,-20.0
,worker_stop,,,,,,,,60,-20.0
,worker_stop,,,,,,,,60,-20.0
,attack_start,,,4,10.0,40.0,2,http://localhost:8080|http://localhost:8081,,
,worker_stop,,,,,,,,50,-10.0
,worker_stop,,,,,,,,50,-10.0
,worker_stop,,,,,,,,50,-10.0
,worker_stop,,,,,,,,50,-10.0
,attack_start,,,4,10.0,40.0,1,http://localhost:8080,,
,worker_stop,,,,,,,,50,-10.0
,worker_stop,,,,,,,,50,-10.0
,worker_stop,,,,,,,,50,-10.0
,worker_stop,,,,,,,,44,-4.0
,attack_start,,,4,10.0,40.0,1,http://localhost:8080,,
,worker_stop,,,,,,,,59,-19.0
,worker_stop,,,,,,,,59,-19.0
,worker_stop,,,,,,,,60,-20.0
,worker_stop,,,,,,,,60,-20.0
