num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,2.5,10.0,1,,,,
,2.5,,,11,6.437,1.709,0
,2.5,,,11,6.474,1.699,0
,2.5,,,16,6.639,2.41,0
,2.5,,,22,6.855,3.209,0
4,2.5,10.0,2,,,,
,2.5,,,44,18.853,2.334,0
,2.5,,,37,18.966,1.951,0
,2.5,,,44,19.094,2.304,0
4,2.5,10.0,3,,,,
,2.5,,,51,19.04,2.679,0
,2.5,,,39,19.079,2.044,0
,2.5,,,96,39.222,2.448,0
,2.5,,,47,19.454,2.416,0
,2.5,,,47,19.575,2.401,0
4,2.5,10.0,4,,,,
,2.5,,,71,28.149,2.522,0
,2.5,,,59,28.171,2.094,0
,2.5,,,51,28.241,1.806,0
4,2.5,10.0,3,,,,
,2.5,,,60,29.215,2.054,5
,2.5,,,53,24.755,2.141,0
,2.5,,,58,24.891,2.33,0
,2.5,,,57,24.988,2.281,0
,2.5,,,52,25.054,2.076,0
4,2.5,10.0,4,,,,
,2.5,,,98,37.187,2.635,0
,2.5,,,103,37.299,2.761,0
,2.5,,,97,37.625,2.578,0
,2.5,,,93,38.424,2.42,0
