num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,1.0,4.0,1,,,,
,1.0,,,11,7.665,1.435,0
,1.0,,,10,7.895,1.267,0
,1.0,,,7,8.38,0.835,0
4,1.0,4.0,2,,,,
,1.0,,,17,18.173,0.935,0
,1.0,,,23,26.7,0.861,0
,1.0,,,15,18.206,0.824,0
,1.0,,,14,18.604,0.753,0
4,1.0,4.0,3,,,,
,1.0,,,24,28.241,0.85,0
,1.0,,,25,28.347,0.882,0
4,1.0,4.0,2,,,,
,1.0,,,13,19.914,0.653,0
,1.0,,,13,20.008,0.65,0
,1.0,,,19,20.044,0.948,0
,1.0,,,30,49.585,0.605,18
4,1.0,4.0,3,,,,
,1.0,,,20,19.363,1.033,0
,1.0,,,83,89.008,0.933,0
,1.0,,,66,69.828,0.945,0
,1.0,,,21,19.727,1.065,0
,1.0,,,21,19.851,1.058,0
4,1.0,4.0,4,,,,
,1.0,,,37,41.893,0.883,0
,1.0,,,42,42.294,0.993,0
,1.0,,,66,62.576,1.055,0
,1.0,,,37,42.559,0.869,0
,1.0,,,38,43.175,0.88,0
,1.0,,,73,84.262,0.866,0
