num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,10.0,40.0,1,,,,
4,10.0,40.0,2,,,,
,10.0,,,38,8.166,4.653,19
,10.0,,,39,8.191,4.761,16
,10.0,,,43,8.27,5.199,12
,10.0,,,47,8.301,5.662,18
4,10.0,40.0,3,,,,
,10.0,,,167,20.563,8.121,0
,10.0,,,171,20.763,8.236,19
,10.0,,,205,20.783,9.864,0
,10.0,,,157,21.214,7.401,25
,10.0,,,192,19.408,9.893,0
,10.0,,,178,19.418,9.167,0
4,10.0,40.0,4,,,,
,10.0,,,89,20.76,4.287,78
,10.0,,,100,21.002,4.762,90
,10.0,,,879,91.802,9.575,0
,10.0,,,925,91.89,10.066,0
,10.0,,,948,92.382,10.262,0
,10.0,,,0,93.66,0.0,939
