num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,5.0,20.0,1,,,,
4,5.0,20.0,2,,,,
,5.0,,,25,8.055,3.104,11
,5.0,,,22,8.207,2.681,11
,5.0,,,16,8.211,1.949,6
,5.0,,,23,8.263,2.784,9
,5.0,,,27,20.412,1.323,77
4,5.0,20.0,3,,,,
,5.0,,,0,20.846,0.0,84
,5.0,,,15,21.014,0.714,83
,5.0,,,0,21.022,0.0,97
4,5.0,20.0,4,,,,
,5.0,,,0,20.932,0.0,91
,5.0,,,0,20.995,0.0,91
,5.0,,,0,20.988,0.0,111
,5.0,,,58,21.039,2.757,50
,5.0,,,49,93.271,0.525,402
,5.0,,,0,93.638,0.0,466
,5.0,,,0,93.652,0.0,469
,5.0,,,0,93.684,0.0,463
