num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,10.0,40.0,1,,,,
4,10.0,40.0,2,,,,
,10.0,,,38,8.652,4.392,15
,10.0,,,38,8.687,4.374,11
,10.0,,,50,8.691,5.753,24
,10.0,,,38,8.693,4.371,18
4,10.0,40.0,3,,,,
,10.0,,,120,22.129,5.423,51
,10.0,,,0,22.251,0.0,184
,10.0,,,0,22.294,0.0,168
,10.0,,,127,22.333,5.687,78
,10.0,,,180,19.129,9.41,0
,10.0,,,122,19.432,6.278,61
4,10.0,40.0,4,,,,
,10.0,,,0,20.965,0.0,175
,10.0,,,0,21.037,0.0,205
,10.0,,,933,91.727,10.171,0
,10.0,,,905,91.762,9.862,0
,10.0,,,927,91.944,10.082,0
,10.0,,,0,93.548,0.0,907
