num_clients,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,10,40,1,,,,
,10,,,1778,180.042,9.875,90
,10,,,1698,180.065,9.43,78
,10,,,1669,180.172,9.263,82
,10,,,1694,180.201,9.401,88
