run_id,source_dir,scenario,wu,intensity_pct,num_attackers,rep,aggregate_rps,num_clients,combinado_rps,stage,kind,config_key,window_start_s,window_end_s,rtt_mean,rtt_std,rtt_median,rtt_p90,rtt_p95,rtt_p99,rtt_cv,rtt_skew,rtt_min,rtt_max,request_count,unique_src_ports,entropy,delta_entropy,max_z,cusum,avg_cpu_percent,num_instances,any_scale_up,label,is_transition,is_hiccup,hiccup_reasons,clf_alarm_entropy,clf_alarm_z,clf_alarm_cusum,clf_status_burst
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep1,desempate_combinado_isolado,,100000,,4.0,1.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,0.0,20.0,16.775967618824346,19.561904965001684,3.86414400418289,46.70255398377776,47.878268494969234,50.75894669862464,1.1660671628294772,0.8362386313340389,2.3906170099508017,53.02360199857503,791,10,0.6534358224760193,0.0,0.0,0.0,6.965,1,False,benign,True,False,,False,False,False,False
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep1,desempate_combinado_isolado,,100000,,4.0,1.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,10.0,30.0,55.89239154699625,70.23707490488938,38.56292252021376,179.11260850087274,226.5932847512886,278.19500598852744,1.25664822994435,1.8475424439505423,2.569493983173743,386.66243001353,1096,38,1.7871054430520883,1.133669620576069,18.9085093224035,13579.301181341429,44.957499999999996,2,True,benign,True,False,,False,True,True,False
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep1,desempate_combinado_isolado,,100000,,4.0,1.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,20.0,40.0,53.786605890349726,60.74308055024953,38.36668049916625,121.06774570129348,208.3491288969526,270.08478811621893,1.1293347022878035,2.1605018539381344,3.164050984196365,386.66243001353,1524,58,1.6767818695077024,0.11032357354438593,4.709336755758148,0.0,89.36000000000001,2,True,attack,True,False,,False,True,False,False
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep1,desempate_combinado_isolado,,100000,,4.0,1.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,30.0,50.0,35.8503025404773,28.35949735489224,33.53930497542024,75.1846472034231,84.9180405959487,116.25805599731393,0.7910532225738554,0.9706717599229905,3.231662005418912,199.0705679927487,1597,60,1.1112699844288438,0.5655118850788585,2.39177797349631,0.0,73.62,2,False,attack,True,False,,False,False,False,False
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep1,desempate_combinado_isolado,,100000,,4.0,1.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,40.0,60.0,47.79880863592146,53.62813351697992,37.257909993059,92.79053099453449,156.04480899492046,280.0729202645016,1.1219554429789207,2.8199417661941633,2.876843005651608,435.2479260123801,1576,54,1.5520616538717589,0.44079166944291504,14.083381608419216,1508.613120437906,59.0775,3,True,attack,True,False,,False,True,True,False
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep1,desempate_combinado_isolado,,100000,,4.0,1.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,50.0,70.0,49.34270619953624,53.24978604003834,40.486048004822806,95.27708939276636,145.5269744998076,280.46566858945846,1.079182520405393,2.7901057009924783,2.876843005651608,435.2479260123801,1563,56,1.6083216653149965,0.05626001144323767,7.224736196604403,38.06271947770297,61.42,3,True,attack,False,False,,False,True,False,False
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep1,desempate_combinado_isolado,,100000,,4.0,1.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,60.0,80.0,41.983737606224615,36.42870304976184,39.2642299993895,84.91000300273299,105.43138379580338,173.88981759431763,0.8676860405196709,1.5786169697802046,3.040612005861476,296.9188959978055,1593,40,1.3856776155890984,0.22264404972589813,4.6493367994402375,5.399354495703371,56.4675,4,True,attack,False,False,,False,True,False,False
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep1,desempate_combinado_isolado,,100000,,4.0,1.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,70.0,90.0,38.57181764518849,36.530874330681506,32.6739399752114,79.711166996276,96.8103404957219,176.23690016334865,0.9470871885457652,1.858303004149509,3.040612005861476,296.9188959978055,1546,49,1.2794568787662401,0.10622073682285826,6.998194748886279,0.0,51.050000000000004,4,True,attack,False,False,,False,True,False,False
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep1,desempate_combinado_isolado,,100000,,4.0,1.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,80.0,100.0,32.42262417243254,26.750236191632368,30.481077992590144,72.79698150232434,79.11432245018656,97.66031274077245,0.825048461511541,0.9749992327279999,3.17991100018844,214.37132800929248,1518,38,1.0038479187702016,0.2756089599960385,4.812354305367767,29.432856227918123,38.9775,4,False,attack,False,False,,False,True,False,False
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep1,desempate_combinado_isolado,,100000,,4.0,1.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,90.0,110.0,32.2836269691635,25.81561769047048,31.184554507490247,71.83510409086011,80.364057944098,96.28505921195021,0.7996504765443145,0.6019202919147658,3.2387069950345904,123.52418800583108,1518,38,0.9769255341598061,0.026922384610395533,3.405635867316029,0.0,36.1975,4,False,attack,False,False,,False,False,False,False
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep1,desempate_combinado_isolado,,100000,,4.0,1.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,100.0,120.0,35.179158180374785,27.28197098048413,34.07099150354043,75.95800721319392,83.32912331097756,102.77923266956354,0.7755151740869053,0.5657671704186745,3.245578001951799,148.35628197761253,1604,38,1.0809957059626976,0.10407017180289146,4.49621838997468,0.0,38.8125,4,False,attack,False,False,,False,True,False,False
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep1,desempate_combinado_isolado,,100000,,4.0,1.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,110.0,130.0,35.830375391537665,28.34668782534196,34.45623000152409,76.8810031877365,85.82645420101471,110.85793885285969,0.7911356639606074,0.6324093382048828,3.0070779903326184,148.35628197761253,1653,38,1.1391362634363793,0.05814055747368174,4.148421823269214,33.22611047270627,40.7225,4,False,attack,False,False,,False,True,False,False
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep1,desempate_combinado_isolado,,100000,,4.0,1.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,120.0,140.0,35.560043891331674,29.36389323418708,32.825403002789244,76.32506700465457,88.7277825939236,118.33554802229622,0.8257552584558254,0.8305012235573973,3.0070779903326184,161.6424459789414,1567,40,1.1509732458617994,0.011836982425420084,4.438334078485446,0.0,45.04,4,False,attack,False,False,,False,True,False,False
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep1,desempate_combinado_isolado,,100000,,4.0,1.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,130.0,150.0,36.175500418104775,30.86306576745202,31.771275491337292,77.58140539517626,92.39370434224836,133.03474844084127,0.8531482746816672,1.082432075381171,3.164701978676021,199.6832519944292,1554,39,1.1795687557651893,0.028595509903389882,5.589286365883396,0.0,42.5225,4,False,attack,True,False,,False,True,False,False
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep1,desempate_combinado_isolado,,100000,,4.0,1.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,140.0,160.0,37.49815073350713,31.044129525002916,34.270071497303434,80.05137811414897,93.52723956108082,129.67245430481861,0.8278842800976552,0.9550060664092211,3.166771028190851,199.6832519944292,1632,42,1.2346264944067726,0.055057738641583365,5.297845418479411,0.0,36.0275,4,False,attack,True,False,,False,True,False,False
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep1,desempate_combinado_isolado,,100000,,4.0,1.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,150.0,170.0,32.12913977691951,29.244876229331233,31.41831849643495,74.73321809666231,84.9255728971911,118.18185605079633,0.9102290454206237,0.8659293193173173,2.244557981612161,169.68212398933247,1224,37,1.1312392146596941,0.10338727974707851,4.257937822008005,0.0,32.54,3,False,attack,True,False,,False,True,False,False
