num_clients,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,62.5,250.0,1,,,,
,62.5,,,9310,190.364,48.906,1166
,62.5,,,8843,190.363,46.453,1487
,62.5,,,7467,190.361,39.226,2923
