aggregate,n,n_error_suspect_excluded,n_fully_empty_excluded,cpu_container_mean,cpu_container_std,cpu_host_mean,cpu_host_std,error_rate_mean,error_rate_std,error_rate_n
40,5,0,0,7.706628571428572,0.1262267800429051,5.508457142857143,0.38499534054959383,0.0,0.0,5
100,5,0,0,19.801257142857143,0.45926536724536443,12.177085714285715,0.17713276468945754,0.02353425871803454,0.02378805437079468,5
200,5,0,0,40.51022857142857,1.1960215580611178,19.366057142857144,0.580324870311484,0.059380442045666934,0.05536797435376505,5
250,7,1,1,45.84804081632653,3.6544154466288807,22.518367346938774,0.9284745988237022,0.018284519929851355,0.02989235879600247,6
300,5,0,0,44.59628571428571,1.5741023486678463,26.7768,0.33026893185242084,0.035624302608645075,0.05067339377671739,5
400,5,0,0,51.858514285714286,3.985819524468296,30.66811428571429,0.21477863307249653,0.0038992055368718623,0.008718888638689047,5
