num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,10.0,40.0,1,,,,
4,10.0,40.0,2,,,,
,10.0,,,23,9.373,2.454,33
,10.0,,,23,9.391,2.449,45
,10.0,,,12,9.401,1.276,53
,10.0,,,15,9.533,1.573,37
4,10.0,40.0,3,,,,
,10.0,,,0,26.431,0.0,215
,10.0,,,13,26.6,0.489,169
,10.0,,,0,26.645,0.0,199
,10.0,,,9,26.677,0.337,193
4,10.0,40.0,4,,,,
,10.0,,,0,28.502,0.0,164
,10.0,,,27,28.745,0.939,174
,10.0,,,0,28.783,0.0,187
,10.0,,,0,28.784,0.0,175
,10.0,,,7,118.42,0.059,906
,10.0,,,0,118.427,0.0,863
,10.0,,,0,120.433,0.0,900
,10.0,,,0,120.436,0.0,940
