timestamp,src_ip,src_port,dst_ip,dst_port,packet_length,label
1.2686893939971924,127.0.0.1,33954,127.0.0.1,8080,0,benign
1.272918939590454,127.0.0.1,8080,127.0.0.1,33954,0,benign
1.2757782936096191,127.0.0.1,33954,127.0.0.1,8080,0,benign
1.2806248664855957,127.0.0.1,33954,127.0.0.1,8080,163,benign
1.2831389904022217,127.0.0.1,8080,127.0.0.1,33954,0,benign
1.285560131072998,127.0.0.1,33962,127.0.0.1,8080,0,benign
1.2877027988433838,127.0.0.1,8080,127.0.0.1,33962,0,benign
1.2907018661499023,127.0.0.1,33962,127.0.0.1,8080,0,benign
1.2942471504211426,127.0.0.1,33962,127.0.0.1,8080,163,benign
1.3003208637237549,127.0.0.1,8080,127.0.0.1,33962,0,benign
1.3031747341156006,127.0.0.1,33978,127.0.0.1,8080,0,benign
1.3056654930114746,127.0.0.1,8080,127.0.0.1,33978,0,benign
1.3096332550048828,127.0.0.1,33978,127.0.0.1,8080,0,benign
1.314182996749878,127.0.0.1,33978,127.0.0.1,8080,163,benign
1.3165340423583984,127.0.0.1,33982,127.0.0.1,8080,0,benign
1.31980562210083,127.0.0.1,8080,127.0.0.1,33982,0,benign
1.3228154182434082,127.0.0.1,33982,127.0.0.1,8080,0,benign
1.3252549171447754,127.0.0.1,8080,127.0.0.1,33978,0,benign
1.3285746574401855,127.0.0.1,33982,127.0.0.1,8080,163,benign
1.3311238288879395,127.0.0.1,8080,127.0.0.1,33982,0,benign
1.3341095447540283,127.0.0.1,33988,127.0.0.1,8080,0,benign
1.3367116451263428,127.0.0.1,8080,127.0.0.1,33988,0,benign
1.339484691619873,127.0.0.1,33988,127.0.0.1,8080,0,benign
1.3421294689178467,127.0.0.1,33988,127.0.0.1,8080,163,benign
1.346038579940796,127.0.0.1,8080,127.0.0.1,33988,0,benign
1.3490960597991943,127.0.0.1,8080,127.0.0.1,33954,138,benign
1.3518033027648926,127.0.0.1,33954,127.0.0.1,8080,0,benign
1.354522466659546,127.0.0.1,8080,127.0.0.1,33954,56,benign
1.356797218322754,127.0.0.1,33954,127.0.0.1,8080,0,benign
1.359189510345459,127.0.0.1,8080,127.0.0.1,33978,138,benign
1.362290620803833,127.0.0.1,33978,127.0.0.1,8080,0,benign
1.364954948425293,127.0.0.1,8080,127.0.0.1,33978,56,benign
1.3679301738739014,127.0.0.1,33978,127.0.0.1,8080,0,benign
1.370854139328003,127.0.0.1,8080,127.0.0.1,33962,138,benign
1.3737497329711914,127.0.0.1,33962,127.0.0.1,8080,0,benign
1.3766381740570068,127.0.0.1,8080,127.0.0.1,33962,56,benign
1.3801395893096924,127.0.0.1,33962,127.0.0.1,8080,0,benign
1.3861093521118164,127.0.0.1,8080,127.0.0.1,33982,194,benign
1.3896489143371582,127.0.0.1,33982,127.0.0.1,8080,0,benign
1.391918420791626,127.0.0.1,8080,127.0.0.1,33988,194,benign
1.395151138305664,127.0.0.1,33988,127.0.0.1,8080,0,benign
1.3974192142486572,127.0.0.1,33988,127.0.0.1,8080,163,benign
1.4032976627349854,127.0.0.1,8080,127.0.0.1,33988,138,benign
1.4081659317016602,127.0.0.1,33962,127.0.0.1,8080,163,benign
1.4118843078613281,127.0.0.1,8080,127.0.0.1,33962,194,benign
1.4143590927124023,127.0.0.1,33962,127.0.0.1,8080,0,benign
1.416616678237915,127.0.0.1,33982,127.0.0.1,8080,163,benign
1.418907880783081,127.0.0.1,8080,127.0.0.1,33982,194,benign
1.4213283061981201,127.0.0.1,33982,127.0.0.1,8080,0,benign
1.4237213134765625,127.0.0.1,33988,127.0.0.1,8080,0,benign
1.4263615608215332,127.0.0.1,8080,127.0.0.1,33988,56,benign
1.430544376373291,127.0.0.1,33988,127.0.0.1,8080,0,benign
1.4326043128967285,127.0.0.1,33982,127.0.0.1,8080,163,benign
1.435584306716919,127.0.0.1,8080,127.0.0.1,33982,138,benign
1.4388206005096436,127.0.0.1,33978,127.0.0.1,8080,163,benign
1.4421536922454834,127.0.0.1,8080,127.0.0.1,33978,194,benign
1.4464280605316162,127.0.0.1,33978,127.0.0.1,8080,0,benign
