num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,10.0,40.0,1,,,,
4,10.0,40.0,2,,,,
,10.0,,,15,9.063,1.655,47
,10.0,,,10,9.081,1.101,47
,10.0,,,11,9.095,1.209,68
,10.0,,,10,9.119,1.097,35
4,10.0,40.0,3,,,,
,10.0,,,17,25.215,0.674,164
,10.0,,,0,25.358,0.0,211
,10.0,,,10,25.357,0.394,165
,10.0,,,0,25.402,0.0,194
4,10.0,40.0,4,,,,
,10.0,,,0,26.434,0.0,160
,10.0,,,0,26.441,0.0,183
,10.0,,,0,26.499,0.0,186
,10.0,,,51,26.71,1.909,136
,10.0,,,56,116.856,0.479,849
,10.0,,,0,118.238,0.0,921
,10.0,,,0,118.901,0.0,906
,10.0,,,0,118.907,0.0,910
