num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,5.0,20.0,1,,,,
,5.0,,,30,6.371,4.709,0
,5.0,,,32,6.384,5.013,0
,5.0,,,29,6.505,4.458,0
,5.0,,,29,7.083,4.095,0
4,5.0,20.0,2,,,,
,5.0,,,89,18.902,4.708,0
,5.0,,,96,18.915,5.075,0
,5.0,,,92,18.981,4.847,0
,5.0,,,103,19.343,5.325,0
4,5.0,20.0,3,,,,
,5.0,,,297,59.046,5.03,0
,5.0,,,287,59.106,4.856,0
,5.0,,,307,59.172,5.188,0
,5.0,,,298,59.289,5.026,0
4,5.0,20.0,4,,,,
,5.0,,,107,22.88,4.677,0
,5.0,,,113,23.379,4.833,0
,5.0,,,99,23.751,4.168,0
4,5.0,20.0,3,,,,
,5.0,,,125,24.421,5.118,3
,5.0,,,146,28.146,5.187,0
,5.0,,,150,28.251,5.31,0
,5.0,,,137,28.355,4.832,0
,5.0,,,129,28.539,4.52,0
