timestamp,rtt
1788442848.1717,285.81467899493873
1788442848.1725798,280.4335310065653
1788442848.4349794,546.4338280144148
1788442848.4359784,540.8971429860685
1788442848.8128166,599.2957109992858
1788442848.817042,507.8216099936981
1788442849.1060004,619.8022950266022
1788442849.1129746,609.9910869961604
1788442849.423425,906.0892889974639
1788442849.4524815,923.2488190173171
1788442849.7654264,1187.9021769855171
1788442849.7802222,1184.524443000555
1788442850.0436761,1246.4878069877159
1788442850.051826,1246.951852022903
1788442850.263417,1426.1839050159324
1788442850.2730386,1349.7810219996609
1788442850.4389713,1470.540220005205
1788442850.4526172,1487.236376007786
1788442850.6705163,1696.8477219925262
1788442850.6722193,1631.6910249879584
1788442850.873749,1828.526335011702
1788442850.8814328,1792.2066500177607
1788442856.603761,350.2887449867558
1788442856.6057208,344.8220500140451
1788442856.9214954,635.8674079820048
1788442856.9446757,645.926947996486
1788442857.2248569,893.7499129970092
1788442857.237597,898.7648540060036
1788442857.5137935,1165.2215000067372
1788442857.5241165,1038.930918002734
1788442857.8092916,1315.1793200231623
1788442857.823881,1274.3857199966442
1788442858.1992867,1645.4771179996897
1788442858.2723253,1621.1585940036457
1788442858.5507815,1757.449954020558
1788442858.6432903,1672.284469997976
1788442858.7966878,1812.0066359988414
1788442858.8681784,1862.968246015953
1788442859.045241,1987.6327360107098
1788442876.590272,312.15004599653184
1788442876.7530437,331.63043498643674
1788442876.8484652,411.3966629956849
1788442877.0758438,448.4995199891273
1788442877.0830188,460.1627470110543
1788442877.3045614,623.4659760084469
1788442877.3347437,542.6360220008064
1788442877.5485983,291.43694599042647
1788442877.5506268,755.702051013941
1788442877.8391001,503.90064902603626
1788442878.2055228,380.1773889863398
1788442878.5910807,383.3978570182808
1788442878.5981672,269.67288699233904
1788442878.7718148,427.1796160028316
1788442878.7855055,238.6476790125016
1788442879.0187175,275.80350698553957
1788442879.0779378,475.8083600027021
1788442879.3912811,463.1696800061036
1788442879.4219577,393.31435700296424
1788442879.6419933,273.45553401391953
1788442879.6472461,312.4473830102943
1788442879.8993413,302.3566289921291
1788442879.9618776,284.0294170018751
1788442880.1909683,501.54008498066105
1788442880.2806618,258.34459901670925
1788442880.9839563,233.9810119883623
1788442881.2231033,241.06276198290288
1788442881.521631,170.9661619970575
1788442881.7696025,189.0402490098495
1788442882.1352162,236.54072801582515
1788442882.4706962,226.39047499978915
1788442882.5845158,237.31026399764232
1788442882.70885,243.11421200400218
1788442882.854317,386.6282590024639
1788442883.0617638,449.61374800186604
1788442883.1065927,461.15390898194164
1788442883.2875223,597.40814298857
1788442883.3818426,681.5394510049373
1788442883.5000088,680.8066499943379
1788442883.6151412,640.2786429971457
1788442883.772251,735.2383529942017
1788442883.9096355,591.7367189831566
1788442883.9967887,627.0822219958063
1788442884.240651,834.5808750018477
1788442884.2968373,335.91626401175745
1788442884.4709675,379.7790209937375
1788442884.5906186,469.5242879970465
1788442884.7858846,468.5757539991755
1788442885.321052,244.8810469941236
1788442885.5365531,351.7753950145561
1788442885.6122627,350.90021797805093
1788442885.937821,317.168050998589
1788442886.0941417,225.4974129900802
1788442886.5067768,317.21811601892114
1788442886.652176,312.0504909893498
1788442886.8513985,248.8510349940043
1788442887.3555737,335.8964500075672
1788442887.4443684,304.8841489944607
1788442887.6354127,353.5585220088251
1788442888.0416107,317.12543801404536
1788442888.0741208,340.12137199169956
1788442888.5311165,416.904320998583
1788442888.6925902,315.49451700993814
1788442889.2428942,291.0546800121665
1788442889.2665882,272.20778798800893
1788442889.5285823,445.5376869882457
1788442889.6362526,244.46948699187487
1788442890.1314106,427.33272098121233
1788442890.1490195,381.2225819856394
1788442890.46732,561.5033849899191
1788442890.8515599,331.39591800863855
1788442891.0222228,350.75065298588015
1788442891.2179973,357.17218098579906
1788442891.6426876,289.5821279962547
1788442891.7498076,288.87898300308734
1788442892.9550805,261.546110996278
1788442893.1513457,318.5601500154007
1788442893.2787356,443.7500229978468
1788442894.5660694,354.7694789886009
1788442895.089329,334.26467201206833
1788442895.5417833,438.31313599366695
1788442897.007338,336.93293898249976
1788442897.0138934,327.68469498842023
1788442897.0430114,369.4140810112003
1788442897.1099079,336.7952319968026
1788442897.3413002,600.3706420015078
1788442897.3708613,668.6500420037191
1788442897.7170691,839.545677008573
1788442897.8509142,406.45481800311245
1788442897.919594,461.910029000137
1788442897.9961762,511.57972699729726
1788442898.1058857,488.37018699850887
1788442898.3878274,752.2030969848856
1788442898.494989,937.5280069943983
1788442898.5216663,506.70062701101415
1788442898.5635276,498.13604200608097
1788442898.8037312,676.1626499937847
1788442898.80683,345.5590539961122
1788442898.8790998,735.1260090072174
1788442898.931825,295.90058300527744
1788442899.1015413,853.8487699988764
1788442899.1118631,458.81183198071085
1788442899.2300253,708.193794998806
1788442899.2657437,556.3657600141596
1788442899.4276605,876.7887960129883
1788442899.5669665,959.2849680047948
1788442899.7551892,890.7487940159626
1788442899.9351583,545.2898399962578
1788442899.948208,656.9739629921969
1788442899.979815,376.88354300917126
1788442900.1710806,808.5567399975844
1788442900.2498662,469.1218090010807
1788442900.3456235,675.2754879998975
1788442900.4007041,365.9917509939987
1788442900.504018,644.4265919853933
1788442900.5600905,404.07891999348067
1788442900.6472912,654.8614419880323
1788442900.7153945,378.4490749821998
1788442900.8191774,756.1718089855276
1788442900.9343197,466.817312000785
1788442900.9630795,664.6790510276332
1788442901.2777781,301.5732320200186
1788442901.4306817,360.8890759933274
1788442901.5365443,366.219463001471
1788442901.567859,439.7669610043522
1788442901.8203707,434.81238701497205
1788442901.8289106,502.7524619945325
1788442901.8661814,405.4805969935842
1788442901.9231267,367.6276530022733
1788442902.1265512,401.2057109794114
1788442902.129831,609.7643609973602
1788442902.193451,471.74919198732823
1788442902.475678,411.63788599078543
1788442902.7830153,375.8704920182936
1788442902.789893,351.45087001728825
1788442902.8663294,385.5441769992467
1788442902.9541023,360.6089090171736
1788442903.2247682,331.06922698789276
1788442903.6031346,300.5854079965502
1788442903.6810844,304.4116439996287
1788442903.7758276,413.76245400169864
1788442903.8552647,1772.4457700096536
1788442903.8961713,348.7566230178345
1788442903.9168103,382.98861801740713
1788442903.9684796,1563.7417740072124
1788442904.1032698,1626.7488669836894
1788442904.2625842,1761.3330559979659
1788442904.3744152,350.5489490053151
1788442904.4830418,1834.6872779948171
1788442904.5448282,400.1123589987401
1788442904.6366458,1948.0636040098034
1788442904.6633422,357.89922397816554
1788442904.8075597,382.153050013585
1788442904.8180504,412.1196389896795
1788442904.9703646,524.3808620143682
1788442905.0952008,571.195809985511
1788442905.2848365,659.4181830005255
1788442905.4149964,705.786481994437
1788442905.5606024,1911.2247789744288
1788442905.5688572,319.56412200815976
1788442905.594796,692.9345300013665
1788442905.7536712,665.2742139995098
1788442905.796279,299.5186729822308
1788442905.866962,279.89910400356166
1788442906.115808,1934.2576049966738
1788442906.310702,302.1691419999115
1788442906.312833,338.9497270109132
1788442906.458921,337.6566370134242
1788442906.4630346,326.4753940165974
1788442906.7916253,618.3005540224258
1788442906.7933695,617.258998012403
1788442907.077285,328.4253180027008
1788442907.1191137,935.3029000048991
1788442907.1267145,700.2897319907788
1788442907.338807,333.77860399195924
1788442907.4108746,638.1770050211344
1788442907.422174,588.8000859995373
1788442907.4811013,327.7345099777449
1788442907.6775053,439.9232339928858
1788442907.7173376,767.941077996511
1788442907.721677,862.9437729832716
1788442908.0098896,390.52056398941204
1788442908.1697357,613.0670369893778
1788442908.2027164,933.1064689904451
1788442908.2671194,548.6620969895739
1788442908.4672074,691.8470000091475
1788442908.5439248,928.3505360072013
1788442908.5753427,794.1525249916594
1788442908.6116736,1254.851759003941
1788442908.650993,806.6146160126664
1788442908.6911898,1284.4755839905702
1788442908.7779598,675.8024280134123
1788442908.8744376,1024.1781449876726
1788442908.8993268,859.7437319986057
1788442909.0006173,1365.9224050061312
1788442909.0239887,1314.460441004485
1788442909.0678492,783.4801060089376
1788442909.093188,704.7912790148985
1788442909.1808293,1135.1139530015644
1788442909.204386,507.43528999737464
1788442909.3022747,1556.9424550049007
1788442909.323939,1192.940776993055
1788442909.3839045,886.3779880048241
1788442909.3870444,526.6230679990258
1788442909.4972832,565.9752780047711
1788442909.508003,580.5153300170787
1788442909.6230576,407.6805030053947
1788442909.62643,1179.0524410025682
1788442909.6504703,1189.3641770002432
1788442909.8215954,341.9952489784919
1788442909.8284345,596.8934700067621
1788442909.9222577,391.74402100616135
1788442909.9890006,1449.151161010377
1788442910.004771,1488.9618330053054
1788442910.1441169,603.559707000386
1788442910.1959875,333.19416499580257
1788442910.2769043,1599.665643996559
1788442910.3225083,1637.981234001927
1788442910.4048796,485.36159499781206
1788442910.4651163,393.3514280070085
1788442910.5667737,1772.62635200168
1788442910.6218908,1725.4271339916158
1788442910.7108972,341.49205300491303
1788442910.8093872,364.9126589880325
1788442910.9066246,1987.860453024041
1788442910.97387,335.88231101748534
1788442910.974679,1999.8188939935062
1788442911.0613465,612.5277999963146
1788442911.0621872,340.24675900582224
1788442911.1367664,588.6091229913291
1788442911.2682047,416.6499880084302
1788442911.3481355,419.8523990053218
1788442911.3572133,697.1688070043456
1788442911.4258566,644.1070279979613
1788442911.5487397,498.17613599589095
1788442911.5543108,1591.7058239865582
1788442911.683957,863.3331939927302
1788442911.6920955,340.4872360115405
1788442911.7251725,765.5755159794353
1788442911.8496788,1715.0499529961962
1788442911.8507967,1636.2271940161008
1788442911.851483,330.34786401549354
1788442911.9844577,904.8755829862785
1788442911.9918945,436.9790600030683
1788442912.0088143,726.0654349811375
1788442912.11256,524.7626860218588
1788442912.1243372,1259.399086004123
1788442912.2224624,891.3976290205028
1788442912.296933,429.181621002499
1788442912.3855584,317.8765840129927
1788442912.3975086,787.9293820005842
1788442912.4101508,793.9598800148815
1788442912.4171338,302.97084400081076
1788442912.5234234,461.4522119809408
1788442912.5845134,449.1969519876875
1788442912.662496,763.4912290086504
1788442912.7094388,801.4313360035885
1788442912.8195324,327.37659401027486
1788442912.82636,322.5865080021322
1788442912.8928761,665.4081580054481
1788442912.907097,511.7686279991176
1788442913.019971,870.6581099831965
1788442913.0613775,669.6931929909624
1788442913.1543856,626.739531988278
1788442913.1830902,533.5772359976545
1788442913.272589,803.7479339982383
1788442913.3084776,295.1713189831935
1788442913.3254757,621.9118610024452
1788442913.4118998,248.31125099444762
1788442913.5199044,475.53621299448423
1788442913.5262234,209.92897200630978
1788442913.7054927,258.3141089999117
1788442913.801271,272.2200689895544
1788442913.8639414,292.32706400216557
1788442913.9374385,311.94458197569475
1788442914.0084558,340.316393005196
1788442914.047861,298.3489420148544
1788442914.137599,372.7337809978053
1788442914.1639626,347.6622909947764
1788442914.2242432,278.3301220042631
1788442914.3485773,258.8687819952611
1788442914.3730826,386.2739249889273
1788442914.4826481,239.41324299084954
1788442914.5158057,340.4336420062464
1788442914.6185403,422.5737850065343
1788442914.7884898,321.66945000062697
1788442914.810046,522.8143889980856
1788442914.8384361,325.162779976381
1788442914.9082742,358.8608109857887
1788442914.9890676,532.142650015885
1788442915.1157815,496.991738997167
1788442915.1254551,343.8301779970061
1788442915.1518,468.54980097850785
1788442915.1958537,556.4884880150203
1788442915.253373,305.8400700101629
1788442915.2683284,566.3646280008834
1788442915.3887596,678.935944015393
1788442915.4202244,695.6334669957869
1788442915.4541605,334.6241929975804
1788442915.5680356,295.248945010826
1788442915.595548,254.33569101733156
1788442915.6136873,231.2700120091904
1788442915.8742461,267.972636007471
1788442915.9530027,299.0095670102164
1788442915.9679432,327.20483202137984
1788442916.0036004,311.98029799270444
1788442916.0213435,306.9123039895203
1788442916.191513,476.96794400690123
1788442916.210444,298.59103000489995
1788442916.27381,278.1689700204879
1788442916.2920222,294.743139995262
1788442916.376242,248.91873900196515
1788442916.5000114,254.65131798409857
1788442916.5670526,197.52881198655814
1788442916.588432,225.35370700643398
1788442916.9005394,208.666679012822
1788442916.9193335,211.64109400706366
1788442917.0166297,234.13414898095652
1788442917.0893908,367.28864899487235
1788442917.1082294,381.6394800087437
1788442917.301374,494.89347499911673
1788442917.3773699,228.00446199835278
1788442917.4722025,246.3125560025219
1788442917.501876,278.8200799841434
1788442917.5693486,211.81125502334908
1788442917.6350005,193.88738501584157
1788442917.9160588,270.9574610053096
1788442917.9876888,301.9874439924024
1788442918.0197825,307.9981539922301
1788442918.0254004,327.6693040097598
1788442918.0486495,326.9341039995197
1788442918.4398797,503.900355019141
1788442918.502179,366.9325619994197
1788442918.580408,389.2243190202862
1788442918.5937216,647.1295309893321
1788442918.6002707,576.0523040080443
1788442918.6041894,545.4512370051816
1788442918.775979,754.3288529850543
1788442918.808776,439.5056079956703
1788442918.8529437,790.680143982172
1788442918.8890326,507.5228410132695
1788442918.910773,717.7108160103671
1788442918.9168265,825.141495995922
1788442919.0418267,662.1211869933177
1788442919.1167524,576.056329999119
1788442919.142653,942.9858750081621
1788442919.260052,454.9291010189336
1788442919.2604797,645.1251179969404
1788442919.4538734,767.1245770179667
1788442919.4890764,322.6074810081627
1788442919.5199125,332.33060099883005
1788442919.559872,616.242683987366
1788442919.5718458,332.41816199733876
1788442919.678338,280.7777549896855
1788442919.7166252,617.9192010022234
1788442919.759719,352.18081300263293
1788442919.8029768,618.9646240090951
1788442919.8730469,410.37156799575314
1788442919.9388616,335.13915102230385
1788442920.0839586,812.3497850028798
1788442920.1444151,571.3021930132527
1788442920.1594741,637.1300290047657
1788442920.2601357,343.5874719871208
1788442920.2840414,496.33277699467726
1788442920.3220563,712.5093649956398
1788442920.402956,460.64004400977865
1788442920.5988357,344.1499089822173
1788442920.6367283,320.01974497688934
1788442920.6481204,363.1288259930443
1788442920.7102234,314.90361399482936
1788442920.7169938,353.66702600731514
1788442920.7996442,327.9400820028968
1788442920.8675823,528.672476997599
1788442920.8923,387.7325240173377
1788442920.8935935,392.0318789896555
1788442920.9998193,265.53262598463334
1788442921.0350637,480.6936160020996
1788442921.156449,196.40370600973256
1788442921.2327938,241.87417601933703
1788442921.321214,242.11279198061675
1788442921.3331027,233.8455629942473
1788442921.3845081,260.25387400295585
1788442921.432074,262.79567601159215
1788442921.5413754,229.40316100721247
1788442921.5957127,218.3794770098757
1788442921.6160262,222.92334199300967
1788442921.7426553,191.5238439978566
1788442921.8139873,210.85891398251988
1788442921.8352234,192.3297269968316
1788442922.0651088,139.4714119960554
1788442922.0656884,128.91188098001294
1788442922.19692,212.1810589742381
1788442922.30535,147.6808860024903
1788442922.3189745,147.72402998642065
1788442922.423958,211.49891402455978
1788442922.6673667,161.73673898447305
1788442922.7452285,151.89939699484967
1788442922.8402982,141.4560670091305
1788442923.008077,205.1809249969665
1788442923.089042,220.89593100827187
1788442923.3778362,133.54934001108631
1788442923.4014246,160.3225709986873
1788442923.497345,208.12131400452927
1788442923.6927974,273.8458630046807
1788442923.6960092,296.5414609934669
1788442923.7400084,313.79661499522626
1788442923.7430654,312.38864798797294
1788442923.7652352,295.50778001430444
1788442923.9264925,364.2568890063558
1788442924.0265381,393.6622300243471
1788442924.0389578,445.7673479919322
1788442924.0432608,260.3908489982132
1788442924.1407075,297.4051730125211
1788442924.3237007,296.8823070114013
1788442924.4274518,295.74061499442905
1788442924.4402835,287.3188709781971
1788442924.4872704,280.9916719852481
1788442924.5347261,286.8414910044521
1788442924.5817168,320.984233985655
1788442924.5972655,279.63467201334424
1788442924.7278857,282.6183800061699
1788442924.7458382,213.22684700135142
1788442924.7801433,236.46561297937296
1788442924.8960056,290.5060699849855
1788442924.9453514,335.0948549923487
1788442925.0799258,344.8328629892785
1788442925.1223059,367.3431790084578
1788442925.2137666,325.90786000946537
1788442925.3678863,237.0024749834556
1788442925.385095,186.10846000956371
1788442925.4825184,121.64464400848374
1788442925.6095607,125.93792800907977
1788442925.705957,183.8297790091019
1788442925.8292246,246.54214197653346
1788442925.8632925,266.7908439761959
1788442925.9103315,280.3274779871572
1788442925.9384491,334.12779300124384
1788442925.958088,256.75140001112595
1788442926.3744032,174.37837601755746
1788442926.4396548,207.69838101114146
1788442926.4461524,210.56279799086042
1788442926.5187316,249.37805699300952
1788442926.6059513,222.86116098985076
1788442926.6654835,247.21384298754856
1788442926.6757338,247.27629299741238
1788442926.771904,247.94993398245424
1788442926.9163725,113.92525699920952
1788442927.1690958,262.91338898590766
1788442927.228165,300.9772270161193
1788442927.3720798,275.33205298823304
1788442927.4283547,274.9920740025118
1788442927.4343345,308.3739779831376
1788442927.5080054,300.21975000272505
1788442927.5207684,335.67282499279827
1788442927.632744,432.0297689992003
1788442927.6439393,280.7471039996017
1788442927.6916466,280.4709509946406
1788442927.7349176,218.1865090096835
1788442927.9430082,212.35086899832822
1788442928.1286335,310.9576810093131
1788442928.1668296,343.85280500282533
1788442928.17911,376.3786409981549
1788442928.453892,352.4156179919373
1788442928.4908035,649.2591580026783
1788442928.6335206,328.5237859818153
1788442928.6821167,230.13127598096617
1788442928.6928453,264.45464199059643
1788442928.6946638,268.1176729965955
1788442928.7599845,251.08013302087784
1788442928.8698833,206.52761799283326
1788442928.9420948,195.13648201245815
1788442929.0323355,308.50937799550593
1788442929.0412319,216.7162949917838
1788442929.046311,236.96227499749511
1788442929.1357636,237.48652398353443
1788442929.2070825,305.61000300804153
1788442929.2787218,363.2524770218879
1788442929.4776893,160.25794501183555
1788442929.529078,139.3878780072555
1788442929.610852,165.9903630206827
1788442929.6346235,191.75008000456728
1788442929.6547081,179.84223400708288
1788442929.923929,286.29497898509726
1788442929.925501,264.1384500020649
1788442929.9278977,424.4008279929403
1788442929.9495096,280.2236170100514
1788442930.1375465,331.2368410115596
1788442930.2254443,516.7521059920546
