rps,wu,n,tpr_mean,tpr_std,fpr_mean,fpr_std,n_bursts_mean
1,100000,5,0.0,0.0,0.0,0.0,0.0
1,200000,5,0.0,0.0,0.0,0.0,0.0
1,400000,5,24.0,33.19973226130328,0.0,0.0,3.6
5,100000,5,8.0,8.692269873603532,0.0,0.0,1.2
5,200000,5,98.66666666666666,2.981423969999722,0.0,0.0,14.8
5,400000,5,100.0,0.0,50.0,25.0,15.8
10,100000,5,98.66666666666666,2.9814239699997214,0.0,0.0,14.8
10,200000,5,100.0,0.0,33.333333333333336,18.633899812498253,15.2
10,400000,5,100.0,0.0,50.0,0.0,5.8
