num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,5.0,20.0,1,,,,
,5.0,,,44,7.581,5.804,0
,5.0,,,31,7.736,4.007,0
4,5.0,20.0,2,,,,
,5.0,,,30,7.891,3.802,0
,5.0,,,29,8.15,3.558,0
,5.0,,,80,18.825,4.25,0
,5.0,,,82,18.923,4.333,0
,5.0,,,86,19.087,4.506,0
,5.0,,,97,19.399,5.0,0
4,5.0,20.0,3,,,,
,5.0,,,105,18.907,5.554,0
,5.0,,,82,19.248,4.26,0
,5.0,,,93,19.306,4.817,0
,5.0,,,102,19.543,5.219,0
4,5.0,20.0,4,,,,
,5.0,,,433,92.346,4.689,0
,5.0,,,476,92.445,5.149,0
,5.0,,,429,92.84,4.621,0
,5.0,,,491,92.976,5.281,0
