num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,1.0,4.0,1,,,,
,1.0,,,8,6.3,1.27,0
4,1.0,4.0,2,,,,
,1.0,,,21,23.338,0.9,0
,1.0,,,18,23.403,0.769,0
,1.0,,,38,31.075,1.223,0
,1.0,,,24,23.634,1.015,2
,1.0,,,29,31.827,0.911,0
4,1.0,4.0,1,,,,
,1.0,,,46,46.276,0.994,0
,1.0,,,20,14.315,1.397,0
,1.0,,,16,14.364,1.114,0
,1.0,,,15,14.549,1.031,0
,1.0,,,11,14.822,0.742,0
4,1.0,4.0,2,,,,
,1.0,,,64,68.358,0.936,0
,1.0,,,19,28.677,0.663,0
,1.0,,,22,29.21,0.753,2
4,1.0,4.0,1,,,,
,1.0,,,12,14.426,0.832,0
,1.0,,,32,43.958,0.728,16
,1.0,,,8,14.614,0.547,0
,1.0,,,19,14.744,1.289,0
,1.0,,,34,44.353,0.767,0
4,1.0,4.0,2,,,,
,1.0,,,50,48.069,1.04,0
,1.0,,,53,64.052,0.827,0
,1.0,,,40,48.563,0.824,0
,1.0,,,35,49.065,0.713,0
4,1.0,4.0,1,,,,
,1.0,,,1,0.244,4.102,0
,1.0,,,1,0.383,2.61,0
,1.0,,,55,49.755,1.105,1
,1.0,,,1,0.513,1.949,0
,1.0,,,1,3.115,0.321,0
