num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,0.25,1.0,1,,,,
4,0.25,1.0,2,,,,
,0.25,,,34,111.493,0.305,0
,0.25,,,6,24.275,0.247,0
,0.25,,,9,24.284,0.371,0
,0.25,,,9,24.636,0.365,0
4,0.25,1.0,3,,,,
,0.25,,,44,136.68,0.322,0
4,0.25,1.0,2,,,,
,0.25,,,8,28.313,0.283,0
,0.25,,,5,4.264,1.173,0
,0.25,,,32,142.765,0.224,0
,0.25,,,38,143.285,0.265,0
,0.25,,,7,30.62,0.229,0
,0.25,,,4,6.519,0.614,0
,0.25,,,2,8.061,0.248,0
,0.25,,,9,33.184,0.271,0
,0.25,,,2,10.561,0.189,0
,0.25,,,15,37.463,0.4,0
,0.25,,,11,69.943,0.157,0
