num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,7.5,30.0,1,,,,
4,7.5,30.0,2,,,,
,7.5,,,0,68.764,0.0,516
,7.5,,,0,68.758,0.0,512
,7.5,,,0,68.842,0.0,501
,7.5,,,0,68.953,0.0,510
4,7.5,30.0,3,,,,
,7.5,,,0,20.762,0.0,124
,7.5,,,0,20.97,0.0,122
,7.5,,,119,20.991,5.669,8
,7.5,,,119,21.052,5.653,6
,7.5,,,129,18.914,6.82,0
,7.5,,,124,18.912,6.557,0
4,7.5,30.0,4,,,,
,7.5,,,0,20.48,0.0,131
,7.5,,,0,21.158,0.0,140
,7.5,,,192,32.098,5.982,1
,7.5,,,195,32.618,5.978,9
,7.5,,,196,33.168,5.909,2
,7.5,,,0,34.817,0.0,193
