num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,5.0,20.0,1,,,,
,5.0,,,26,6.766,3.843,2
4,5.0,20.0,2,,,,
,5.0,,,31,7.704,4.024,3
,5.0,,,26,7.738,3.36,4
,5.0,,,24,7.773,3.088,4
,5.0,,,80,18.603,4.3,0
,5.0,,,91,18.647,4.88,0
,5.0,,,78,18.653,4.182,3
,5.0,,,82,19.105,4.292,0
4,5.0,20.0,3,,,,
,5.0,,,366,78.939,4.637,22
,5.0,,,412,79.027,5.213,0
,5.0,,,387,79.046,4.896,0
,5.0,,,342,79.867,4.282,16
4,5.0,20.0,4,,,,
,5.0,,,216,38.707,5.58,0
,5.0,,,170,38.731,4.389,4
,5.0,,,215,38.762,5.547,0
,5.0,,,224,38.995,5.744,0
