num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,5.0,20.0,1,,,,
,5.0,,,33,6.543,5.043,5
,5.0,,,25,7.021,3.561,2
,5.0,,,23,7.086,3.246,7
,5.0,,,24,7.135,3.364,7
4,5.0,20.0,2,,,,
,5.0,,,89,18.66,4.77,0
,5.0,,,97,18.658,5.199,0
,5.0,,,92,19.12,4.812,11
,5.0,,,78,19.44,4.012,4
4,5.0,20.0,3,,,,
,5.0,,,157,28.972,5.419,0
,5.0,,,115,29.115,3.95,15
,5.0,,,154,29.13,5.287,0
4,5.0,20.0,4,,,,
,5.0,,,159,30.409,5.229,20
,5.0,,,425,82.907,5.126,0
,5.0,,,405,82.915,4.885,0
,5.0,,,423,82.93,5.101,6
,5.0,,,374,83.524,4.478,0
