num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,0.5,2.0,1,,,,
,0.5,,,3,6.507,0.461,0
,0.5,,,9,7.229,1.245,0
4,0.5,2.0,2,,,,
,0.5,,,11,28.042,0.392,0
,0.5,,,19,35.796,0.531,0
,0.5,,,8,28.408,0.282,0
,0.5,,,17,36.2,0.47,0
,0.5,,,13,28.55,0.455,0
4,0.5,2.0,1,,,,
,0.5,,,12,15.13,0.793,0
,0.5,,,10,15.942,0.627,0
4,0.5,2.0,2,,,,
,0.5,,,30,52.758,0.569,0
,0.5,,,35,69.114,0.506,0
,0.5,,,23,53.362,0.431,0
,0.5,,,9,99.019,0.091,22
4,0.5,2.0,1,,,,
,0.5,,,31,73.732,0.42,0
,0.5,,,51,89.998,0.567,0
,0.5,,,12,19.851,0.604,0
,0.5,,,11,19.867,0.554,0
,0.5,,,18,74.068,0.243,7
,0.5,,,8,20.616,0.388,0
4,0.5,2.0,2,,,,
,0.5,,,9,12.426,0.724,0
,0.5,,,8,13.007,0.615,0
,0.5,,,7,13.467,0.52,0
,0.5,,,14,34.997,0.4,0
,0.5,,,6,14.76,0.407,0
