timestamp,src_ip,src_port,dst_ip,dst_port,packet_length,label
1.3818223476409912,127.0.0.1,48930,127.0.0.1,8080,0,benign
1.3848865032196045,127.0.0.1,8080,127.0.0.1,48930,0,benign
1.387418270111084,127.0.0.1,48930,127.0.0.1,8080,0,benign
1.3901374340057373,127.0.0.1,48930,127.0.0.1,8080,163,benign
1.392608880996704,127.0.0.1,8080,127.0.0.1,48930,0,benign
1.397244930267334,127.0.0.1,48946,127.0.0.1,8080,0,benign
1.4048817157745361,127.0.0.1,8080,127.0.0.1,48946,0,benign
1.4086418151855469,127.0.0.1,48946,127.0.0.1,8080,0,benign
1.413400650024414,127.0.0.1,48952,127.0.0.1,8080,0,benign
1.419816493988037,127.0.0.1,8080,127.0.0.1,48952,0,benign
1.4218847751617432,127.0.0.1,48952,127.0.0.1,8080,0,benign
1.424790382385254,127.0.0.1,48946,127.0.0.1,8080,163,benign
1.4271535873413086,127.0.0.1,8080,127.0.0.1,48946,0,benign
1.4306001663208008,127.0.0.1,48952,127.0.0.1,8080,163,benign
1.4327843189239502,127.0.0.1,8080,127.0.0.1,48952,0,benign
1.4355227947235107,127.0.0.1,48960,127.0.0.1,8080,0,benign
1.4394145011901855,127.0.0.1,8080,127.0.0.1,48960,0,benign
1.4429466724395752,127.0.0.1,48960,127.0.0.1,8080,0,benign
1.447213888168335,127.0.0.1,48960,127.0.0.1,8080,163,benign
1.4519917964935303,127.0.0.1,8080,127.0.0.1,48960,0,benign
1.4556198120117188,127.0.0.1,48970,127.0.0.1,8080,0,benign
1.4584052562713623,127.0.0.1,8080,127.0.0.1,48970,0,benign
1.4617927074432373,127.0.0.1,48970,127.0.0.1,8080,0,benign
1.466111660003662,127.0.0.1,48970,127.0.0.1,8080,163,benign
1.4700396060943604,127.0.0.1,8080,127.0.0.1,48970,0,benign
1.4731030464172363,127.0.0.1,48984,127.0.0.1,8080,0,benign
1.4769928455352783,127.0.0.1,8080,127.0.0.1,48984,0,benign
1.4814929962158203,127.0.0.1,48984,127.0.0.1,8080,0,benign
1.484961986541748,127.0.0.1,48984,127.0.0.1,8080,163,benign
1.4893968105316162,127.0.0.1,8080,127.0.0.1,48984,0,benign
1.4935779571533203,127.0.0.1,8080,127.0.0.1,48930,194,benign
1.4979603290557861,127.0.0.1,48930,127.0.0.1,8080,0,benign
1.500823736190796,127.0.0.1,8080,127.0.0.1,48946,138,benign
1.505647897720337,127.0.0.1,48946,127.0.0.1,8080,0,benign
1.5090467929840088,127.0.0.1,8080,127.0.0.1,48946,56,benign
1.5126824378967285,127.0.0.1,48946,127.0.0.1,8080,0,benign
1.5161869525909424,127.0.0.1,8080,127.0.0.1,48984,138,benign
1.5193257331848145,127.0.0.1,48984,127.0.0.1,8080,0,benign
1.5224878787994385,127.0.0.1,8080,127.0.0.1,48960,138,benign
1.5251622200012207,127.0.0.1,48960,127.0.0.1,8080,0,benign
1.527764081954956,127.0.0.1,8080,127.0.0.1,48952,138,benign
1.5308330059051514,127.0.0.1,48952,127.0.0.1,8080,0,benign
1.5335257053375244,127.0.0.1,8080,127.0.0.1,48952,56,benign
1.5360169410705566,127.0.0.1,8080,127.0.0.1,48960,56,benign
1.5395903587341309,127.0.0.1,48960,127.0.0.1,8080,0,benign
1.5426011085510254,127.0.0.1,48952,127.0.0.1,8080,0,benign
1.5462849140167236,127.0.0.1,8080,127.0.0.1,48970,138,benign
1.5490069389343262,127.0.0.1,48970,127.0.0.1,8080,0,benign
1.5517644882202148,127.0.0.1,8080,127.0.0.1,48970,56,benign
1.555084466934204,127.0.0.1,48970,127.0.0.1,8080,0,benign
1.5586252212524414,127.0.0.1,8080,127.0.0.1,48984,56,benign
1.5641155242919922,127.0.0.1,48984,127.0.0.1,8080,0,benign
1.5690727233886719,127.0.0.1,48952,127.0.0.1,8080,163,benign
1.5725188255310059,127.0.0.1,8080,127.0.0.1,48952,138,benign
1.5760557651519775,127.0.0.1,48970,127.0.0.1,8080,163,benign
1.5797295570373535,127.0.0.1,8080,127.0.0.1,48970,138,benign
1.584245204925537,127.0.0.1,48984,127.0.0.1,8080,163,benign
1.588587760925293,127.0.0.1,8080,127.0.0.1,48984,194,benign
1.5920791625976562,127.0.0.1,48984,127.0.0.1,8080,0,benign
1.5973315238952637,127.0.0.1,48984,127.0.0.1,8080,163,benign
1.6008503437042236,127.0.0.1,8080,127.0.0.1,48984,138,benign
1.604541540145874,127.0.0.1,48946,127.0.0.1,8080,163,benign
1.6084754467010498,127.0.0.1,8080,127.0.0.1,48946,194,benign
1.6128432750701904,127.0.0.1,48946,127.0.0.1,8080,0,benign
1.618556261062622,127.0.0.1,48930,127.0.0.1,8080,163,benign
1.6221797466278076,127.0.0.1,48988,127.0.0.1,8080,0,benign
1.626404047012329,127.0.0.1,8080,127.0.0.1,48988,0,benign
1.6305019855499268,127.0.0.1,48988,127.0.0.1,8080,0,benign
1.6349434852600098,127.0.0.1,48988,127.0.0.1,8080,163,benign
1.6418488025665283,127.0.0.1,8080,127.0.0.1,48988,0,benign
1.6481289863586426,127.0.0.1,48946,127.0.0.1,8080,163,benign
1.651759386062622,127.0.0.1,48952,127.0.0.1,8080,0,benign
1.6552884578704834,127.0.0.1,8080,127.0.0.1,48930,138,benign
1.6603033542633057,127.0.0.1,48930,127.0.0.1,8080,0,benign
1.6649413108825684,127.0.0.1,48970,127.0.0.1,8080,0,benign
1.6709656715393066,127.0.0.1,8080,127.0.0.1,48952,56,benign
1.6757006645202637,127.0.0.1,48952,127.0.0.1,8080,0,benign
1.6807527542114258,127.0.0.1,8080,127.0.0.1,48988,138,benign
1.6860949993133545,127.0.0.1,8080,127.0.0.1,48930,56,benign
1.6893916130065918,127.0.0.1,48930,127.0.0.1,8080,0,benign
1.6940114498138428,127.0.0.1,48988,127.0.0.1,8080,0,benign
1.6977479457855225,127.0.0.1,8080,127.0.0.1,48946,138,benign
1.7012743949890137,127.0.0.1,8080,127.0.0.1,48988,56,benign
1.704759120941162,127.0.0.1,48988,127.0.0.1,8080,0,benign
1.7086896896362305,127.0.0.1,8080,127.0.0.1,48970,56,benign
1.7124650478363037,127.0.0.1,48970,127.0.0.1,8080,0,benign
1.7164206504821777,127.0.0.1,49004,127.0.0.1,8080,0,benign
1.721254825592041,127.0.0.1,8080,127.0.0.1,49004,0,benign
1.7250306606292725,127.0.0.1,49004,127.0.0.1,8080,0,benign
1.7290947437286377,127.0.0.1,49004,127.0.0.1,8080,163,benign
1.7326552867889404,127.0.0.1,8080,127.0.0.1,49004,0,benign
1.7366218566894531,127.0.0.1,48984,127.0.0.1,8080,0,benign
1.740356683731079,127.0.0.1,48988,127.0.0.1,8080,163,benign
1.7464492321014404,127.0.0.1,8080,127.0.0.1,49004,138,benign
1.7537257671356201,127.0.0.1,49004,127.0.0.1,8080,0,benign
1.757129430770874,127.0.0.1,8080,127.0.0.1,49004,56,benign
1.7636151313781738,127.0.0.1,49004,127.0.0.1,8080,0,benign
1.7680222988128662,127.0.0.1,8080,127.0.0.1,48988,138,benign
1.7710990905761719,127.0.0.1,8080,127.0.0.1,48984,56,benign
1.7734348773956299,127.0.0.1,48984,127.0.0.1,8080,0,benign
1.7766175270080566,127.0.0.1,48970,127.0.0.1,8080,163,benign
1.7801084518432617,127.0.0.1,8080,127.0.0.1,48970,138,benign
1.7833995819091797,127.0.0.1,48930,127.0.0.1,8080,163,benign
1.786792278289795,127.0.0.1,8080,127.0.0.1,48930,138,benign
1.7906184196472168,127.0.0.1,49012,127.0.0.1,8080,0,benign
1.794741153717041,127.0.0.1,8080,127.0.0.1,49012,0,benign
1.7975621223449707,127.0.0.1,49012,127.0.0.1,8080,0,benign
1.8021504878997803,127.0.0.1,49012,127.0.0.1,8080,163,benign
1.8049542903900146,127.0.0.1,8080,127.0.0.1,49012,0,benign
1.8077449798583984,127.0.0.1,8080,127.0.0.1,49012,194,benign
1.8109779357910156,127.0.0.1,49012,127.0.0.1,8080,0,benign
1.8151814937591553,127.0.0.1,48984,127.0.0.1,8080,163,benign
1.818674087524414,127.0.0.1,8080,127.0.0.1,48984,138,benign
1.821821689605713,127.0.0.1,48946,127.0.0.1,8080,0,benign
1.826850414276123,127.0.0.1,8080,127.0.0.1,48946,56,benign
1.8302583694458008,127.0.0.1,48946,127.0.0.1,8080,0,benign
1.8341262340545654,127.0.0.1,48988,127.0.0.1,8080,0,benign
1.8433876037597656,127.0.0.1,8080,127.0.0.1,48988,56,benign
1.846928358078003,127.0.0.1,48988,127.0.0.1,8080,0,benign
1.8500168323516846,127.0.0.1,49012,127.0.0.1,8080,163,benign
1.8538310527801514,127.0.0.1,8080,127.0.0.1,49012,138,benign
1.8589091300964355,127.0.0.1,48970,127.0.0.1,8080,0,benign
1.866300106048584,127.0.0.1,8080,127.0.0.1,48970,56,benign
1.871170997619629,127.0.0.1,48970,127.0.0.1,8080,0,benign
1.8770010471343994,127.0.0.1,48946,127.0.0.1,8080,163,benign
1.88206148147583,127.0.0.1,8080,127.0.0.1,48946,138,benign
1.8867344856262207,127.0.0.1,8080,127.0.0.1,48930,56,benign
1.892052173614502,127.0.0.1,48930,127.0.0.1,8080,0,benign
1.896183967590332,127.0.0.1,48930,127.0.0.1,8080,163,benign
1.899728536605835,127.0.0.1,8080,127.0.0.1,48930,138,benign
1.9026198387145996,127.0.0.1,48988,127.0.0.1,8080,163,benign
1.904473066329956,127.0.0.1,8080,127.0.0.1,48988,138,benign
1.906425952911377,127.0.0.1,49022,127.0.0.1,8080,0,benign
1.9084620475769043,127.0.0.1,8080,127.0.0.1,49022,0,benign
1.9104218482971191,127.0.0.1,49022,127.0.0.1,8080,0,benign
1.9122309684753418,127.0.0.1,49022,127.0.0.1,8080,163,benign
1.9168484210968018,127.0.0.1,8080,127.0.0.1,49022,0,benign
1.9202511310577393,127.0.0.1,8080,127.0.0.1,49022,138,benign
1.92268967628479,127.0.0.1,49022,127.0.0.1,8080,0,benign
1.9282991886138916,127.0.0.1,8080,127.0.0.1,49022,56,benign
1.9326517581939697,127.0.0.1,49022,127.0.0.1,8080,0,benign
1.9387235641479492,127.0.0.1,48984,127.0.0.1,8080,0,benign
1.9425153732299805,127.0.0.1,8080,127.0.0.1,48984,56,benign
1.9450442790985107,127.0.0.1,48984,127.0.0.1,8080,0,benign
1.9513392448425293,127.0.0.1,48970,127.0.0.1,8080,163,benign
1.9529943466186523,127.0.0.1,49022,127.0.0.1,8080,163,benign
1.9555084705352783,127.0.0.1,8080,127.0.0.1,48970,138,benign
1.959752082824707,127.0.0.1,8080,127.0.0.1,49022,138,benign
1.961388349533081,127.0.0.1,49012,127.0.0.1,8080,0,benign
1.9645471572875977,127.0.0.1,49028,127.0.0.1,8080,0,benign
1.9678981304168701,127.0.0.1,8080,127.0.0.1,49028,0,benign
1.97090744972229,127.0.0.1,49028,127.0.0.1,8080,0,benign
1.9754400253295898,127.0.0.1,49028,127.0.0.1,8080,163,benign
1.9795870780944824,127.0.0.1,8080,127.0.0.1,49028,0,benign
1.9815325736999512,127.0.0.1,8080,127.0.0.1,49012,56,benign
1.9832682609558105,127.0.0.1,49012,127.0.0.1,8080,0,benign
1.9848527908325195,127.0.0.1,8080,127.0.0.1,49028,194,benign
1.986332893371582,127.0.0.1,49028,127.0.0.1,8080,0,benign
1.987936019897461,127.0.0.1,8080,127.0.0.1,48946,56,benign
1.9915266036987305,127.0.0.1,48946,127.0.0.1,8080,0,benign
1.9937541484832764,127.0.0.1,48960,127.0.0.1,8080,163,benign
1.9952945709228516,127.0.0.1,8080,127.0.0.1,48960,194,benign
1.9970252513885498,127.0.0.1,48960,127.0.0.1,8080,0,benign
1.9985439777374268,127.0.0.1,48930,127.0.0.1,8080,0,benign
2.000131368637085,127.0.0.1,48988,127.0.0.1,8080,0,benign
2.0015387535095215,127.0.0.1,8080,127.0.0.1,48930,56,benign
2.0030558109283447,127.0.0.1,8080,127.0.0.1,48988,56,benign
2.0046544075012207,127.0.0.1,48930,127.0.0.1,8080,0,benign
2.0079216957092285,127.0.0.1,48988,127.0.0.1,8080,0,benign
2.009732961654663,127.0.0.1,48960,127.0.0.1,8080,163,benign
2.0124869346618652,127.0.0.1,8080,127.0.0.1,48960,138,benign
2.0149612426757812,127.0.0.1,49022,127.0.0.1,8080,0,benign
2.0165960788726807,127.0.0.1,48970,127.0.0.1,8080,0,benign
2.0182948112487793,127.0.0.1,8080,127.0.0.1,48970,56,benign
2.020559787750244,127.0.0.1,8080,127.0.0.1,49022,56,benign
2.0241198539733887,127.0.0.1,49022,127.0.0.1,8080,0,benign
2.026184558868408,127.0.0.1,48970,127.0.0.1,8080,0,benign
2.028064012527466,127.0.0.1,48946,127.0.0.1,8080,163,benign
2.0311195850372314,127.0.0.1,8080,127.0.0.1,48946,194,benign
