num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
16,10.0,160.0,1,,,,
16,10.0,160.0,2,,,,
16,10.0,160.0,3,,,,
,10.0,,,2,31.083,0.064,54
,10.0,,,1,32.333,0.031,61
,10.0,,,1,32.524,0.031,64
,10.0,,,1,32.566,0.031,59
,10.0,,,2,32.609,0.061,56
,10.0,,,1,32.673,0.031,66
,10.0,,,2,32.69,0.061,60
,10.0,,,2,32.698,0.061,76
,10.0,,,2,32.717,0.061,64
,10.0,,,1,32.723,0.031,67
,10.0,,,1,32.732,0.031,59
,10.0,,,1,32.845,0.03,62
,10.0,,,3,32.852,0.091,71
,10.0,,,1,32.9,0.03,64
,10.0,,,1,32.935,0.03,55
,10.0,,,2,33.082,0.06,73
16,10.0,160.0,4,,,,
,10.0,,,0,109.776,0.0,146
,10.0,,,3,110.388,0.027,186
,10.0,,,4,110.733,0.036,164
,10.0,,,0,110.96,0.0,157
,10.0,,,2,111.395,0.018,157
,10.0,,,1,111.466,0.009,177
,10.0,,,0,111.474,0.0,190
,10.0,,,0,111.519,0.0,191
,10.0,,,1,111.525,0.009,181
,10.0,,,0,111.542,0.0,192
,10.0,,,0,111.556,0.0,155
,10.0,,,5,111.551,0.045,181
,10.0,,,0,111.567,0.0,155
,10.0,,,0,111.581,0.0,180
,10.0,,,1,111.626,0.009,169
,10.0,,,1,111.642,0.009,190
,10.0,,,0,145.529,0.0,177
,10.0,,,0,145.568,0.0,171
,10.0,,,0,145.582,0.0,156
,10.0,,,0,145.612,0.0,183
,10.0,,,2,145.612,0.014,153
,10.0,,,3,145.621,0.021,165
,10.0,,,0,145.618,0.0,165
,10.0,,,0,145.624,0.0,172
,10.0,,,3,145.618,0.021,179
,10.0,,,0,145.643,0.0,162
,10.0,,,4,145.643,0.027,182
,10.0,,,0,145.674,0.0,207
,10.0,,,0,145.682,0.0,182
,10.0,,,0,145.702,0.0,164
,10.0,,,2,145.71,0.014,153
,10.0,,,0,145.715,0.0,172
,10.0,,,0,142.955,0.0,877
