num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,10.0,40.0,1,,,,
4,10.0,40.0,2,,,,
,10.0,,,3,9.227,0.325,56
,10.0,,,4,9.397,0.426,61
,10.0,,,2,9.474,0.211,56
,10.0,,,3,9.516,0.315,60
4,10.0,40.0,3,,,,
,10.0,,,4,24.219,0.165,169
,10.0,,,0,24.249,0.0,188
,10.0,,,0,24.313,0.0,179
,10.0,,,4,24.36,0.164,179
4,10.0,40.0,4,,,,
,10.0,,,0,28.231,0.0,204
,10.0,,,0,28.378,0.0,175
,10.0,,,6,28.418,0.211,206
,10.0,,,0,28.474,0.0,188
,10.0,,,4,118.219,0.034,919
,10.0,,,0,118.222,0.0,861
,10.0,,,0,120.216,0.0,918
,10.0,,,0,120.512,0.0,917
