num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,10.0,40.0,1,,,,
4,10.0,40.0,2,,,,
,10.0,,,18,9.534,1.888,72
,10.0,,,5,9.586,0.522,53
,10.0,,,10,9.73,1.028,57
,10.0,,,8,9.81,0.815,46
4,10.0,40.0,3,,,,
,10.0,,,0,23.603,0.0,184
,10.0,,,0,23.667,0.0,171
,10.0,,,9,23.759,0.379,164
,10.0,,,20,23.851,0.839,156
4,10.0,40.0,4,,,,
,10.0,,,25,25.423,0.983,156
,10.0,,,0,25.592,0.0,190
,10.0,,,0,25.657,0.0,186
,10.0,,,0,25.721,0.0,161
,10.0,,,13,114.622,0.113,867
,10.0,,,0,116.592,0.0,905
,10.0,,,0,116.616,0.0,891
,10.0,,,0,116.627,0.0,874
