num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,10.0,40.0,1,,,,
4,10.0,40.0,2,,,,
,10.0,,,9,9.36,0.962,53
,10.0,,,11,9.399,1.17,49
,10.0,,,13,9.409,1.382,50
,10.0,,,9,9.425,0.955,57
4,10.0,40.0,3,,,,
,10.0,,,17,26.133,0.651,195
,10.0,,,0,26.148,0.0,182
,10.0,,,0,26.159,0.0,189
,10.0,,,13,26.169,0.497,188
4,10.0,40.0,4,,,,
,10.0,,,0,29.373,0.0,208
,10.0,,,17,29.409,0.578,178
,10.0,,,0,29.41,0.0,174
,10.0,,,0,29.422,0.0,183
,10.0,,,12,117.154,0.102,906
,10.0,,,0,117.732,0.0,855
,10.0,,,0,118.669,0.0,894
,10.0,,,0,118.719,0.0,842
