num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,10.0,40.0,1,,,,
4,10.0,40.0,2,,,,
,10.0,,,7,9.669,0.724,60
,10.0,,,4,9.698,0.412,52
,10.0,,,9,9.715,0.926,58
,10.0,,,10,9.757,1.025,77
4,10.0,40.0,3,,,,
,10.0,,,0,25.051,0.0,191
,10.0,,,0,25.169,0.0,187
,10.0,,,14,25.178,0.556,173
,10.0,,,16,25.254,0.634,165
4,10.0,40.0,4,,,,
,10.0,,,0,28.643,0.0,186
,10.0,,,25,28.673,0.872,192
,10.0,,,0,28.691,0.0,178
,10.0,,,0,28.7,0.0,192
,10.0,,,18,117.101,0.154,908
,10.0,,,0,117.796,0.0,850
,10.0,,,0,118.424,0.0,894
,10.0,,,0,118.501,0.0,872
